,2018-12-24,2020-03-20
FID US Stocks,101.66982402593463,98.07446402838129
FID US Equity,85.90608399641681,72.61334244429199
NEI US Equity RS,59.2155970734559,77.63853559843216
AIM US Companies,84.9012578140088,80.24693012739397
CIBC US Equity,164.60645975741699,75.67747576535659
Scotia US Equity,82.81828701516815,80.35008288225602
BMO US Equity,87.22998400050702,83.05743068917798
Sunlife US Growth,90.53603051897741,69.9982225356543
Mawer US Equity,59.84192231719684,69.76919750697857
S&P500,100.0,100.0
