,2018-09-20,2020-02-19,2021-09-30
FID US Stocks,212.21655466143105,115.26664594951082,112.72209030538237
FID US Equity,90.9731368223544,71.73909512822263,39.57906275220784
NEI US Equity RS,138.39990745041274,82.8037832837113,54.115125008754106
AIM US Companies,121.45655940103326,107.35979385284989,45.182044488525364
CIBC US Equity,188.84945733363972,48.89284374649962,66.36392027599489
Scotia US Equity,145.11273958017262,90.96371943965339,71.78378023060502
BMO US Equity,111.89258008540112,99.27454311174614,74.04652132511903
Sunlife US Growth,229.41799518458876,126.75164215089647,67.74440514272685
Mawer US Equity,179.56862027672025,99.08602257887594,57.80290635137989
S&P500,100.0,100.0,100.0
